scientificName	ts	te	speciation	extinction	ancestral_speciation	cont_trait_anc_0	cont_trait_ts_0	cont_trait_te_0	cat_trait_0	cat_trait_anc_0
T222	13.89	0.0	0.1	0.0	0.1	1.7169283667852275	2.123698158907507	2.3147280423350507	0.0	0.0
T223	13.82	11.55	0.1	0.3	0.1	0.3514211074618898	0.769189286741119	0.8969164631424243	1.0	1.0
T224	13.77	0.0	0.1	0.0	0.1	0.5849929469108323	0.8419678220959146	0.74040931801699	1.0	1.0
T225	13.5	12.86	0.1	0.3	0.1	-0.39239761406086493	-0.37082466681297727	-0.42236583266907085	1.0	1.0
T226	13.5	0.0	0.1	0.0	0.1	1.1614293146045342	1.9166638075804823	1.5353274192501547	1.0	1.0
T227	13.29	12.78	0.1	0.3	0.1	0.31323263727737943	0.15929036157678095	0.113187611492214	0.0	0.0
T228	13.27	0.0	0.1	0.0	0.1	-0.6562573000587129	-0.5737231005735592	-0.5299415332849499	1.0	1.0
T229	13.2	10.3	0.1	0.3	0.1	0.5606610268469009	-0.18887187457673138	-0.21593035985307765	1.0	1.0
T230	13.12	12.46	0.1	0.3	0.1	2.0347848055377598	1.839623611797735	1.9164643531382337	1.0	1.0
T231	13.07	11.53	0.1	0.3	0.1	0.6174958721102731	0.6907274513686841	0.5919945094414376	1.0	1.0
T232	12.94	0.0	0.1	0.0	0.1	1.3664159191130996	1.5366989186873776	2.6551857062707227	0.0	0.0
T233	12.6	0.0	0.1	0.0	0.1	0.5167605174489072	0.606359307800312	0.9435928308134524	0.0	0.0
T234	12.47	0.0	0.1	0.0	0.1	1.944758916321125	1.8433392031654232	2.033346311644604	1.0	1.0
T235	12.35	10.92	0.1	0.3	0.1	0.7640258200940909	0.7727601704201211	0.5588248794053481	0.0	0.0
T236	12.19	0.0	0.1	0.0	0.1	-0.35167857783506395	-0.3384512202107542	-0.6572316243912314	0.0	0.0
T237	12.12	0.0	0.1	0.0	0.1	-0.3926016511195239	0.06845956914316892	0.31339490474461856	1.0	1.0
T238	11.84	0.0	0.1	0.0	0.1	0.2451068775024385	0.582814324212905	1.1083517540252803	0.0	0.0
T239	11.59	0.0	0.1	0.0	0.1	0.6244313300375776	-0.15646125337335193	0.6073001619378485	1.0	1.0
T240	11.53	0.0	0.1	0.0	0.1	0.17002732305215473	-0.2738318299012103	-1.0042003761136207	1.0	1.0
T241	11.49	0.0	0.1	0.0	0.1	-1.43746393424455	-1.7449500004960958	-1.4520549381859305	1.0	1.0
T242	11.44	0.0	0.1	0.0	0.1	-1.713886729818234	-2.5992178397916756	-2.381858585065606	1.0	1.0
T243	11.43	0.0	0.1	0.0	0.1	-1.4926671550863968	-1.384117452867551	-1.9101706072500613	0.0	1.0
T244	11.4	0.0	0.1	0.0	0.1	-1.3470176883550218	-0.8161103294458506	-0.2547862407387458	1.0	1.0
T246	11.19	0.0	0.1	0.0	0.1	0.5682790764513699	0.8528706430361885	1.172753642766797	0.0	0.0
T247	11.11	6.25	0.1	0.01	0.1	2.390217387814345	2.4947471642095405	2.255343381491749	1.0	1.0
T248	11.01	0.0	0.1	0.0	0.1	-0.3942936517079009	-0.494718272527518	-0.7154411793652143	1.0	1.0
T249	10.98	0.0	0.1	0.0	0.1	0.9605540367391899	1.3133283866756242	1.301884475539572	0.0	1.0
T251	10.74	0.0	0.1	0.0	0.1	-0.01345868022640271	-0.6275825763520118	-0.9008156445420717	1.0	1.0
T252	10.67	4.4	0.1	0.01	0.1	0.8265837655259507	0.07319044720630852	-0.08711873210848121	1.0	1.0
T254	10.34	5.85	0.1	0.01	0.1	-1.3842326629083395	-1.1820842870049708	-1.4450297185304826	0.0	0.0
T255	10.34	0.0	0.1	0.0	0.1	1.1743632441710516	0.6532500736138133	0.5663076622986082	0.0	0.0
T256	9.99	0.0	0.01	0.0	0.01	-0.07009455670820035	0.5913441455602056	0.826237679022127	0.0	0.0
