	PFT	tooth_type	transversal_lophs	hypsodonty_categorical	body_size_cat	acute_lophs	obtuse_lophs	occlusal_topography	horizodonty_Probosc	enamel_folding_or_ptychodonty	skull_shape	upper.tusks	lower.tusks	mandible	mandibular.symphysis	pattern.of.mastication_POM	teeth.replacement	foot.posture
Torynobelodon_loomisi	5	blm	0	bra	3	0	1	0	3	0		up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_straight	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Anancus_arvernensis	6	bun	0	bra	5	0	1	0	3	1	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Anancus_kazachstanensis	6	bun	0	bra	5	0	1	0	3	1	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Anancus_kenyensis	6	bun	0	bra	5	0	1	0	3	1	skull_bathyceph		low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Anancus_lehmanni	6	bun	0	bra	5	0	1	0	3	1		up_tsk_down_curved	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Anancus_osiris	6	bun	0	bra	5	0	1	0	3	1		up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Anancus_perimensis	6	bun	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed		low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Anancus_petrocchii	6	bun	0	bra	5	0	1	0	4	0			low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Anancus_sinensis	6	bun	0	bra	5	0	1	0	4	1		up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Anancus_sivalensis	6	bun	0	bra	5	0	1	0	4	1	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Anancus_ultimus	6	bun	0	bra	5	0	1	0	4	1	skull_bathyceph		low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Cuvieronius_hyodon	6	blm	0	mes	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Platelephas_platycephalus	6	lam	7	hyp	5	0	1	1	7	1	skull_non_bathyceph_domed		low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Sinomammut_tobieni	6	bun	3	bra	5	0	1	0	3	0			low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_mammuth	P4 absent	subunguligrade
Sinomastodon_bumiajuensis	6	bun	0	bra	3	0	1	0	3	0		up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Sinomastodon_huananensis	6	bun	3	bra	5	1	0	0	3	0		up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
